corpid,brands,appdate,subnum
b'1',b'\xd8\xa8\xd8\xb1\xd8\xa7\xd9\x8a\xd9\x85',2017-12-07,b'5'
b'1',b'REPLENISH',2017-12-04,b'5'
b'1',b'WE DO THE PREP. YOU BE THE CHEF.',2017-11-29,b'5'
b'1',b'AWS AMPLIFY',2017-11-21,b'5'
b'1',b'SKATE CREEK',2017-11-14,b'5'
b'1',b'skate creek',2017-11-13,b'5'
b'1',b'ISLE BAY',2017-11-10,b'5'
b'1',b'THE IRON KEEL',2017-11-10,b'5'
b'1',b'AMAZON GAMELIFT',2017-11-07,b'5'
b'1',b'amazon gamelift',2017-11-06,b'5'
b'1',b'mascot',2017-10-26,b'5'
b'1',b'MASCOT',2017-10-26,b'5'
b'1',b'LOVEFILM',2017-10-17,b'5'
b'1',b'love your look every day',2017-10-12,b'5'
b'1',b'WHEREVER YOUR STORY TAKES YOU',2017-10-11,b'5'
b'1',b'LOVE YOUR LOOK. EVERY DAY.',2017-10-11,b'5'
b'1',b'WE PREP. YOU COOK.',2017-10-10,b'5'
b'1',b'REDWAGON',2017-10-09,b'5'
b'1',b'iris lilly',2017-10-09,b'5'
b'1',b'SOME EAT TO LIVE WE LIVE TO EAT',2017-10-06,b'5'
b'1',b'SERIOUSLY TASTY',2017-10-06,b'5'
b'1',b'FIND',2017-10-03,b'5'
b'1',b'aws snowmobile',2017-09-26,b'5'
b'1',b'amazon lightsail',2017-09-26,b'5'
b'1',b'CHALICE',2017-09-25,b'5'
b'1',b'ring',2017-09-21,b'5'
b'1',b'amazon web services',2017-09-06,b'5'
b'1',b'DINNER FOR 2 IN ABOUT 30 MINUTES Design',2017-09-01,b'5'
b'1',b'DINNER FOR 2 IN ABOUT 30 MINUTES',2017-09-01,b'5'
b'1',b'AWS ELEMENTAL',2017-08-24,b'5'
b'1',b'AMAZON CONNECT',2017-08-11,b'5'
b'1',b'amazon redshift spectrum',2017-08-10,b'5'
b'1',b'ECHO SHOW',2017-08-02,b'5'
b'1',b'amazon chime',2017-07-31,b'5'
b'1',b'SOAP.COM',2017-07-31,b'5'
b'1',b'blue shade',2017-07-27,b'5'
b'1',b'amazon asap',2017-07-27,b'5'
b'1',b'dpreview',2017-07-27,b'5'
b'1',b'nupro',2017-07-27,b'5'
b'1',b'voiceview voice view',2017-07-27,b'5'
b'1',b'made for amazon',2017-07-27,b'5'
b'1',b'asap',2017-07-27,b'5'
b'1',b'ECHO LOOK',2017-07-27,b'5'
b'1',b'freetime free time',2017-07-27,b'5'
b'1',b'echo look',2017-07-27,b'5'
b'1',b'ALWAYS HOME',2017-07-16,b'5'
b'1',b'STICK UP CAM',2017-07-16,b'5'
b'1',b'AWS SERVE',2017-07-05,b'5'
b'1',b'BOOST WITH FBA',2017-06-28,b'5'
b'1',b'skip trip',2017-06-20,b'5'
b'1',b'little a',2017-06-20,b'5'
b'1',b'comixology',2017-06-20,b'5'
b'1',b'prime air',2017-06-20,b'5'
b'1',b'kindle matchbook',2017-06-20,b'5'
b'1',b'kindle cloud reader',2017-06-20,b'5'
b'1',b'1-click',2017-06-20,b'5'
b'1',b'fulfillment amazon',2017-06-20,b'5'
b'1',b'fba',2017-06-20,b'5'
b'1',b'x-ray',2017-06-20,b'5'
b'1',b'amazon',2017-06-20,b'5'
b'1',b'WHAT YOU EAT MATTERS',2017-06-20,b'5'
b'1',b'WORKS WITH amazon alexa',2017-06-19,b'5'
b'1',b'WORKS WITH Amazon alexa',2017-06-19,b'5'
b'1',b'amazon alexa works with',2017-06-19,b'5'
b'1',b'work with amazon alexa',2017-06-16,b'5'
b'1',b'WORKS WITH AMAZON ALEXA',2017-06-16,b'5'
b'1',b'AMAZON GLACIER',2017-06-16,b'5'
b'1',b'T TRANSPARENCY',2017-06-14,b'5'
b'1',b'anime strike',2017-06-13,b'5'
b'1',b'heera',2017-06-13,b'5'
b'1',b'ANIME STRIKE',2017-06-13,b'5'
b'1',b'HEERA',2017-06-13,b'5'
b'1',b'Heera',2017-06-12,b'5'
b'1',b'KINDLE PAPERWHITE',2017-06-01,b'5'
b'1',b'AMAZON DASH REPLENISHMENT',2017-05-31,b'5'
b'1',b'amazon dash',2017-05-31,b'5'
b'1',b'amazon dash replenishment',2017-05-30,b'5'
b'1',b'FREETIME',2017-05-24,b'5'
b'1',b'amazonfresh amazon',2017-05-23,b'5'
b'1',b'kindle paperwhite',2017-05-23,b'5'
b'1',b'prime day',2017-05-23,b'5'
b'1',b'prime family',2017-05-23,b'5'
b'1',b'AMAZON LEX',2017-05-18,b'5'
b'1',b'amazon lex',2017-05-17,b'5'
b'1',b'CAGE-FREE PLUS & Design',2017-05-17,b'5'
b'1',b'MOBILE HOUSES ON PASTURE & Design',2017-05-17,b'5'
b'1',b'OUTDOOR ACCESS & Design',2017-05-17,b'5'
b'1',b'amazon dynamodb accelerator',2017-05-16,b'5'
b'1',b'AMAZON DYNAMODB ACCELERATOR',2017-05-16,b'5'
b'1',b'\xd8\xa7\xd9\x85\xd8\xa7\xd8\xb2\xd9\x88\xd9\x86 AMAZON',2017-05-16,b'5'
b'1',b'AMAZON GO',2017-05-15,b'5'
b'1',b'aws greengrass',2017-05-12,b'5'
b'1',b'amazon polly',2017-05-12,b'5'
b'1',b'REKOGNITION',2017-05-12,b'5'
b'1',b'AMAZON POLLY',2017-05-12,b'5'
b'1',b'AWS SNOWMOBILE',2017-05-12,b'5'
b'1',b'AWS GREENGRASS',2017-05-12,b'5'
b'1',b'AMAZON REKOGNITION',2017-05-10,b'5'
b'1',b'ARABELLA & Design',2017-05-10,b'5'
b'1',b'EVERY LINE IS A DEFECT',2017-05-10,b'5'
b'1',b'REDEFINING FAST',2017-05-10,b'5'
b'1',b'AMAZON LIGHTSAIL',2017-05-10,b'5'
b'1',b'rekognition',2017-05-09,b'5'
b'1',b'amazon rekognition',2017-05-09,b'5'
b'1',b'amazon go',2017-05-09,b'5'
b'1',b'sing my song',2017-05-08,b'5'
b'1',b'SING MY SONG',2017-05-08,b'5'
b'1',b'\xd8\xa3\xd9\x85\xd8\xa7\xd8\xb2\xd9\x88\xd9\x86',2017-05-07,b'5'
b'1',b'PRIME SURPRISE',2017-05-03,b'5'
b'1',b'TRUEMESH',2017-04-27,b'5'
b'1',b'wickedlyprime wickedly prime',2017-04-26,b'5'
b'1',b'WICKEDLYPRIME',2017-04-26,b'5'
b'1',b'wickedlyprime',2017-04-26,b'5'
b'1',b'WICKEDLY PRIME',2017-04-25,b'5'
b'1',b'WICKEDLY Y PRIME',2017-04-25,b'5'
b'1',b'i love dick',2017-04-21,b'5'
b'1',b'I LOVE DICK',2017-04-21,b'5'
b'1',b'aws codestar',2017-04-20,b'5'
b'1',b'marvelous mrs.maisel',2017-04-19,b'5'
b'1',b'THE MARVELOUS MRS. MAISEL',2017-04-19,b'5'
b'1',b'LOVE YOUR LINEUP',2017-04-19,b'5'
b'1',b'AWS CODESTAR',2017-04-19,b'5'
b'1',b'find',2017-04-11,b'5'
b'1',b'\xd8\xa3\xd9\x85\xd8\xa7\xd8\xb2\xd9\x88\xd9\x86 \xd8\xaf\xd8\xa7\xd8\xb4',2017-04-11,b'5'
b'1',b'\xd8\xb1\xd8\xb3\xd9\x85',2017-04-10,b'5'
b'1',b'FIND. Stylized',2017-04-10,b'5'
b'1',b'family vault',2017-04-05,b'5'
b'1',b'FAMILY VAULT',2017-04-04,b'5'
b'1',b'amazon connect',2017-03-28,b'5'
b'1',b'alexa prize',2017-03-23,b'5'
b'1',b'prime reading',2017-03-22,b'5'
b'1',b'ALEXA PRIZE',2017-03-22,b'5'
b'1',b'PRIME READING',2017-03-21,b'5'
b'1',b'transparency',2017-03-08,b'5'
b'1',b'...',2017-02-27,b'5'
b'1',b'\xd8\xb1\xd8\xb3\xd9\x85 \xd8\xa3\xd9\x84\xd9\x8a\xd9\x83\xd8\xb3\xd8\xa7',2017-02-26,b'5'
b'1',b'KINDLE READING FUND',2017-02-16,b'5'
b'1',b'BETTER WITH PRIME',2017-02-02,b'5'
b'1',b'better with prime',2017-01-31,b'5'
b'1',b'WE BELIEVE IN REAL FOOD',2017-01-31,b'5'
b'1',b'\xd8\xa3\xd9\x84\xd9\x8a\xd9\x83\xd8\xb3\xd8\xa7',2017-01-29,b'5'
b'1',b'G T GOODTHREADS',2017-01-27,b'5'
b'1',b'G T',2017-01-27,b'5'
b'1',b'AMAZON PRIME VIDEO',2017-01-19,b'5'
b'1',b'\xd9\x81\xd8\xa7\xd9\x8a\xd8\xb1',2017-01-09,b'5'
b'1',b'MOZART IN THE JUNGLE',2017-01-09,b'5'
b'1',b'\xd8\xaf\xd8\xa7\xd8\xb4',2017-01-05,b'5'
b'1',b'Smile Logo',2017-01-04,b'5'
b'1',b'dash',2017-01-03,b'5'
b'1',b'IMMUNE REFRESHER',2016-12-21,b'5'
b'1',"b'HOP, SKIM AND JUMP'",2016-12-20,b'5'
b'1',b'prime surprise',2016-12-16,b'5'
b'1',b'amazon prime video',2016-12-14,b'5'
b'1',b'Prime Surprise',2016-12-14,b'5'
